[16:03:49.113] {"t":"camera3d","f":"place","a":12},
[16:03:49.211] {"t":"camerasphere","f":"create","a":"csphere"},
[16:03:49.211] {"t":"camerasphere","f":"children","a":1},
[16:04:17.622] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":3,"p":{"x":20,"y":0,"z":0,"immediateRender":false}}]}}}}},
[16:04:17.645] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"dollyflyTo","a":{"x":20,"y":0,"z":0,"d":3}}},
[16:04:17.698] {"t":"Mediator","f":"component","a":"narrative"},
[16:04:17.698] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[16:04:17.699] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[16:04:17.699] {"t":"timeline","f":"play"},
[16:04:27.623] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":3,"p":{"x":0.5,"y":0.5,"z":0.5,"immediateRender":false}}]}}}}},
[16:04:27.643] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":0.5,"d":3}}},
[16:04:27.679] {"t":"timeline","f":"play"},
[16:04:27.679] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[16:04:27.679] {"t":"Mediator","f":"component","a":"narrative"},
[16:04:42.630] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":3,"p":{"x":2,"y":2,"z":2,"immediateRender":false}}]}}}}},
[16:04:42.647] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":2,"d":3}}},
[16:04:42.678] {"t":"Mediator","f":"component","a":"narrative"},
[16:04:42.679] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[16:04:42.679] {"t":"timeline","f":"play"},
[16:04:52.631] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":3,"p":{"x":20,"y":20,"z":-20,"immediateRender":false}}]}}}}},
[16:04:52.662] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"dollyflyTo","a":{"x":20,"y":20,"z":-20,"d":3}}},
[16:04:52.693] {"t":"Mediator","f":"component","a":"narrative"},
[16:04:52.702] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope3"}},
[16:04:52.702] {"t":"timeline","f":"play"},
[16:05:02.632] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":3,"p":{"x":0.5,"y":0.5,"z":0.5,"immediateRender":false}}]}}}}},
[16:05:02.652] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":0.5,"d":3}}},
[16:05:02.690] {"t":"Mediator","f":"component","a":"narrative"},
[16:05:02.690] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope4"}},
[16:05:02.690] {"t":"timeline","f":"play"},
[16:05:17.639] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:position":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i2d:plane":[{"dur":3,"p":{"x":0,"y":0,"immediateRender":false}}],"i2d:zoom_plane":[{"dur":3,"p":{"rotation":0,"svgOrigin":"0% 0%","immediateRender":false}}]}}}}},
[16:05:17.658] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"center","a":{"d":3}}},
[16:05:17.716] {"t":"Mediator","f":"component","a":"narrative"},
[16:05:17.718] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope5"}},
[16:05:17.718] {"t":"timeline","f":"play"},
[16:05:32.643] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:position":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:scale":[{"dur":3,"p":{"x":1,"y":1,"z":1,"immediateRender":false}}],"i3d:csphere:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i2d:plane":[{"dur":3,"p":{"x":0,"y":0,"immediateRender":false}}],"i2d:zoom_plane":[{"dur":3,"p":{"rotation":0,"scale":1,"svgOrigin":"0% 0%","immediateRender":false}}]}}}}},
[16:05:32.653] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"home","a":{"d":3}}},
[16:05:32.712] {"t":"Mediator","f":"component","a":"narrative"},
[16:05:32.713] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope6"}},
[16:05:32.713] {"t":"timeline","f":"play"},
