[23:15:57.307] {"t":"camera3d","f":"place","a":12},
[23:15:57.413] {"t":"camerasphere","f":"create","a":"csphere"},
[23:15:57.414] {"t":"camerasphere","f":"children","a":1},
[23:16:16.293] {"t":"mediator","f":"socket.emit.actions","a":{"t":"narrative","f":"change_scene","a":"circle"}},
[23:16:16.761] {"t":"Mediator","f":"component","a":"narrative"},
[23:16:16.762] {"t":"app","f":"onEnter","a":{"name":"circle:"}},
[23:16:16.762] {"t":"app","f":"onEnter","a":{"name":"i3d-simple:simple_red"}},
[23:16:16.763] {"t":"camera3d","f":"changeTemplateScene"},
[23:16:16.764] {"t":"app","f":"onEnter","a":{"name":"i2d-scene:disks0"}},
[23:16:16.765] {"t":"app","f":"onEnter","a":{"name":"base-skycube:test_cube"}},
[23:16:16.765] {"t":"app","f":"onEnter","a":{"name":"shot-graft:a0"}},
[23:16:16.765] {"t":"timeline","f":"play"},
[23:16:16.765] {"t":"camera3d","f":"addActorToScene","a":"csphere"},
[23:16:16.765] {"t":"camera3d","f":"addActorToScene","a":"cube0"},
[23:16:16.766] {"t":"camera3d","f":"addActorToScene","a":"cube0_0"},
[23:16:16.767] {"t":"camera3d","f":"addActorToScene","a":"cube0_1"},
[23:16:26.292] {"t":"mediator","f":"socket.emit.actions","a":{"t":"narrative","f":"change_state","a":"/escher://i2d-scene:mf2d0///"}},
[23:16:26.487] {"t":"app","f":"onEnter","a":{"name":"i2d-scene:mf2d0"}},
[23:16:26.487] {"t":"timeline","f":"play"},
[23:16:26.487] {"t":"app","f":"onEnter","a":{"name":"escher:"}},
[23:16:26.487] {"t":"Mediator","f":"component","a":"narrative"},
[23:16:41.284] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:plane":[{"dur":4,"p":{"x":10,"y":10,"immediateRender":false}}]}}}}},
