[21:24:14.675] {"t":"camera3d","f":"place","a":12},
[21:24:14.795] {"t":"camerasphere","f":"create","a":"csphere"},
[21:24:14.795] {"t":"camerasphere","f":"children","a":1},
[21:24:38.556] {"t":"mediator","f":"socket.emit.actions","a":{"t":"narrative","f":"change_scene","a":"payments"}},
[21:24:39.185] {"t":"Mediator","f":"component","a":"narrative"},
[21:24:39.185] {"t":"app","f":"onEnter","a":{"name":"payments:"}},
[21:24:39.185] {"t":"app","f":"onEnter","a":{"name":"i3d-simple:phong_head_sphere_kfb"}},
[21:24:39.186] {"t":"camera3d","f":"changeTemplateScene"},
[21:24:39.187] {"t":"app","f":"onEnter","a":{"name":"i2d-empty:"}},
[21:24:39.187] {"t":"app","f":"onEnter","a":{"name":"black:"}},
[21:24:39.188] {"t":"app","f":"onEnter","a":{"name":"CU:"}},
[21:24:39.188] {"t":"timeline","f":"play"},
[21:24:39.188] {"t":"camera3d","f":"addActorToScene","a":"csphere"},
[21:24:39.188] {"t":"camera3d","f":"addActorToScene","a":"axes0"},
[21:24:39.188] {"t":"camera3d","f":"addActorToScene","a":"key"},
[21:24:39.189] {"t":"camera3d","f":"addActorToScene","a":"fill"},
[21:24:39.189] {"t":"camera3d","f":"addActorToScene","a":"back"},
[21:24:39.188] {"t":"camera3d","f":"addActorToScene","a":"sphere_phong"},
[21:24:39.356] {"t":"camera3d","f":"addActorToScene","a":"head_scan"},
[21:24:48.528] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"toggle_csphere","a":false}},
[21:25:03.535] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"toggle_csphere","a":true}},
[21:25:18.541] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"toggle_light","a":{"name":"key","val":false}}},
[21:25:28.545] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"toggle_light","a":{"name":"fill","val":false}}},
[21:25:38.543] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"toggle_light","a":{"name":"back","val":false}}},
[21:25:48.545] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"toggle_light","a":{"name":"key","val":true}}},
[21:26:03.551] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"toggle_light","a":{"name":"fill","val":true}}},
[21:26:13.552] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"toggle_light","a":{"name":"back","val":true}}},
