[23:10:29.117] {"t":"camera3d","f":"place","a":12},
[23:10:29.237] {"t":"camerasphere","f":"create","a":"csphere"},
[23:10:29.237] {"t":"camerasphere","f":"children","a":1},
[23:10:48.046] {"t":"mediator","f":"socket.emit.actions","a":{"t":"narrative","f":"change_scene","a":"circle"}},
[23:10:48.513] {"t":"Mediator","f":"component","a":"narrative"},
[23:10:48.513] {"t":"app","f":"onEnter","a":{"name":"circle:"}},
[23:10:48.514] {"t":"app","f":"onEnter","a":{"name":"i3d-simple:simple_red"}},
[23:10:48.514] {"t":"camera3d","f":"changeTemplateScene"},
[23:10:48.515] {"t":"app","f":"onEnter","a":{"name":"i2d-scene:disks0"}},
[23:10:48.516] {"t":"app","f":"onEnter","a":{"name":"base-skycube:test_cube"}},
[23:10:48.516] {"t":"app","f":"onEnter","a":{"name":"shot-graft:a0"}},
[23:10:48.516] {"t":"timeline","f":"play"},
[23:10:48.516] {"t":"camera3d","f":"addActorToScene","a":"csphere"},
[23:10:48.516] {"t":"camera3d","f":"addActorToScene","a":"cube0"},
[23:10:48.516] {"t":"camera3d","f":"addActorToScene","a":"cube0_0"},
[23:10:48.517] {"t":"camera3d","f":"addActorToScene","a":"cube0_1"},
[23:10:58.030] {"t":"mediator","f":"socket.emit.actions","a":{"t":"narrative","f":"change_state","a":"escher://i2d-scene:mf2d0///"}},
[23:10:58.222] {"t":"Mediator","f":"component","a":"narrative"},
[23:10:58.222] {"t":"app","f":"onEnter","a":{"name":"scher:"}},
[23:10:58.222] {"t":"app","f":"onEnter","a":{"name":"i2d-scene:mf2d0"}},
[23:10:58.223] {"t":"timeline","f":"play"},
[23:11:08.025] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:plane":[{"dur":4,"p":{"x":10,"y":10,"immediateRender":false}}]}}}}},
