[22:44:57.912] {"t":"camera3d","f":"place","a":12},
[22:44:58.016] {"t":"camerasphere","f":"create","a":"csphere"},
[22:44:58.017] {"t":"camerasphere","f":"children","a":1},
[22:45:16.804] {"t":"mediator","f":"socket.emit.actions","a":{"t":"narrative","f":"change_scene","a":"a"}},
[22:45:17.208] {"t":"Mediator","f":"component","a":"narrative"},
[22:45:17.208] {"t":"app","f":"onEnter","a":{"name":"a:"}},
[22:45:17.208] {"t":"app","f":"onEnter","a":{"name":"i3d-simple:simple_green"}},
[22:45:17.210] {"t":"camera3d","f":"changeTemplateScene"},
[22:45:17.211] {"t":"app","f":"onEnter","a":{"name":"i2d-scene:disks0"}},
[22:45:17.212] {"t":"app","f":"onEnter","a":{"name":"base-skycube:test_cube"}},
[22:45:17.213] {"t":"app","f":"onEnter","a":{"name":"LS"}},
[22:45:17.213] {"t":"timeline","f":"play"},
[22:45:17.213] {"t":"camera3d","f":"addActorToScene","a":"axes0"},
[22:45:17.213] {"t":"camera3d","f":"addActorToScene","a":"csphere"},
[22:45:17.215] {"t":"camera3d","f":"addActorToScene","a":"cube0"},
[22:46:06.806] {"t":"mediator","f":"socket.emit.actions","a":{"t":"narrative","f":"change_scene","a":"footprint"}},
[22:46:09.153] {"t":"app","f":"onEnter","a":{"name":"footprint:"}},
[22:46:09.153] {"t":"Mediator","f":"component","a":"narrative"},
[22:46:09.154] {"t":"app","f":"onEnter","a":{"name":"i3d-scene:scene1"}},
[22:46:09.156] {"t":"timeline","f":"play"},
[22:46:09.155] {"t":"camera3d","f":"changeTemplateScene"},
[22:46:09.157] {"t":"camera3d","f":"addBillboardToScene","a":"bb_singular2"},
[22:46:09.157] {"t":"camera3d","f":"addBillboardToScene","a":"bb0"},
[22:46:09.160] {"t":"camera3d","f":"addBillboardToScene","a":"bb7"},
[22:46:09.160] {"t":"camera3d","f":"addBillboardToScene","a":"bb18"},
[22:46:09.157] {"t":"camera3d","f":"addBillboardToScene","a":"bb1"},
[22:46:09.162] {"t":"camera3d","f":"addBillboardToScene","a":"bb21"},
[22:46:09.163] {"t":"camera3d","f":"addBillboardToScene","a":"bb23"},
