[16:30:27.691] {"t":"camera3d","f":"place","a":12},
[16:30:27.802] {"t":"camerasphere","f":"create","a":"csphere"},
[16:30:27.802] {"t":"camerasphere","f":"children","a":1},
[16:30:56.661] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":-0.7854,"immediateRender":false}}]}}}}},
[16:30:56.681] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"tiltflyTo","a":{"r":-0.7854,"d":3}}},
[16:30:56.711] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[16:30:56.711] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[16:30:56.711] {"t":"timeline","f":"play"},
[16:30:56.710] {"t":"Mediator","f":"component","a":"narrative"},
[16:31:06.662] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"y":-0.7854,"immediateRender":false}}]}}}}},
[16:31:06.677] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"panflyTo","a":{"r":-0.7854,"d":3}}},
[16:31:06.701] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[16:31:06.701] {"t":"Mediator","f":"component","a":"narrative"},
[16:31:06.701] {"t":"timeline","f":"play"},
[16:31:21.675] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"lookAt"}},
[16:31:36.666] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":3,"p":{"x":20,"y":0,"z":0,"immediateRender":false}}]}}}}},
[16:31:36.678] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"dollyflyTo","a":{"x":20,"y":0,"z":0,"d":3}}},
[16:31:36.692] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[16:31:36.692] {"t":"timeline","f":"play"},
[16:31:36.691] {"t":"Mediator","f":"component","a":"narrative"},
[16:31:51.671] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":3,"p":{"x":0.5,"y":0.5,"z":0.5,"immediateRender":false}}]}}}}},
[16:31:51.691] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":0.5,"d":3}}},
[16:31:51.701] {"t":"Mediator","f":"component","a":"narrative"},
[16:31:51.701] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope3"}},
[16:31:51.701] {"t":"timeline","f":"play"},
[16:32:01.674] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":3,"p":{"x":2,"y":2,"z":2,"immediateRender":false}}]}}}}},
[16:32:01.689] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":2,"d":3}}},
[16:32:01.723] {"t":"Mediator","f":"component","a":"narrative"},
[16:32:01.723] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope4"}},
[16:32:01.723] {"t":"timeline","f":"play"},
[16:32:11.677] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":3,"p":{"x":20,"y":20,"z":-20,"immediateRender":false}}]}}}}},
[16:32:11.702] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"dollyflyTo","a":{"x":20,"y":20,"z":-20,"d":3}}},
[16:32:11.727] {"t":"Mediator","f":"component","a":"narrative"},
[16:32:11.727] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope5"}},
[16:32:11.727] {"t":"timeline","f":"play"},
[16:32:26.678] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":3,"p":{"x":0.5,"y":0.5,"z":0.5,"immediateRender":false}}]}}}}},
[16:32:26.692] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":0.5,"d":3}}},
[16:32:26.735] {"t":"Mediator","f":"component","a":"narrative"},
