[14:56:50.012] {"t":"camera3d","f":"place","a":12},
[14:56:50.110] {"t":"camerasphere","f":"create","a":"csphere"},
[14:56:50.111] {"t":"camerasphere","f":"children","a":1},
[14:57:18.703] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:zoom_plane":[{"dur":3,"p":{"scale":2,"svgOrigin":"0% 0%","immediateRender":false}}]}}}}},
[14:57:18.722] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera2d","f":"zoomflyTo","a":{"s":2,"d":3}}},
[14:57:18.768] {"t":"Mediator","f":"component","a":"narrative"},
[14:57:18.768] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[14:57:18.768] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[14:57:18.768] {"t":"timeline","f":"play"},
[14:57:33.705] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:zoom_plane":[{"dur":3,"p":{"scale":0.5,"svgOrigin":"0% 0%","immediateRender":false}}]}}}}},
[14:57:33.726] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera2d","f":"zoomflyTo","a":{"s":0.5,"d":3}}},
[14:57:33.787] {"t":"Mediator","f":"component","a":"narrative"},
[14:57:33.788] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[14:57:33.788] {"t":"timeline","f":"play"},
[14:57:43.711] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:plane":[{"dur":3,"p":{"x":20,"y":0,"immediateRender":false}}]}}}}},
[14:57:43.727] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera2d","f":"dollyflyTo","a":{"x":20,"d":3}}},
[14:57:43.769] {"t":"Mediator","f":"component","a":"narrative"},
[14:57:43.769] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[14:57:43.769] {"t":"timeline","f":"play"},
