[15:22:11.131] {"t":"camera3d","f":"place","a":12},
[15:22:11.133] {"t":"camerasphere","f":"children","a":1},
[15:22:11.132] {"t":"camerasphere","f":"create","a":"csphere"},
[15:22:44.951] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":3,"p":{"x":20,"y":20,"z":-20,"immediateRender":false}}]}}}}},
[15:22:44.979] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"dollyflyTo","a":{"x":20,"y":20,"z":-20,"d":3}}},
[15:22:45.032] {"t":"Mediator","f":"component","a":"narrative"},
[15:22:45.033] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[15:22:45.033] {"t":"timeline","f":"play"},
[15:22:45.032] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[15:22:59.974] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":3,"p":{"x":2,"y":2,"z":2,"immediateRender":false}}]}}}}},
[15:22:59.983] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":2,"d":3}}},
[15:22:59.994] {"t":"Mediator","f":"component","a":"narrative"},
[15:22:59.995] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[15:22:59.995] {"t":"timeline","f":"play"},
[15:23:09.958] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:position":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i2d:plane":[{"dur":3,"p":{"x":0,"y":0,"immediateRender":false}}],"i2d:zoom_plane":[{"dur":3,"p":{"rotation":0,"svgOrigin":"0% 0%","immediateRender":false}}]}}}}},
[15:23:09.968] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"center","a":{"d":3}}},
[15:23:10.061] {"t":"Mediator","f":"component","a":"narrative"},
[15:23:10.061] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[15:23:10.062] {"t":"timeline","f":"play"},
[15:23:24.961] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:position":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:scale":[{"dur":3,"p":{"x":1,"y":1,"z":1,"immediateRender":false}}],"i3d:csphere:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i2d:plane":[{"dur":3,"p":{"x":0,"y":0,"immediateRender":false}}],"i2d:zoom_plane":[{"dur":3,"p":{"rotation":0,"scale":1,"svgOrigin":"0% 0%","immediateRender":false}}]}}}}},
[15:23:24.998] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"home","a":{"d":3}}},
[15:23:25.015] {"t":"Mediator","f":"component","a":"narrative"},
[15:23:25.015] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope3"}},
[15:23:25.016] {"t":"timeline","f":"play"},
