[19:05:47.433] {"t":"camera3d","f":"place","a":12},
[19:05:47.434] {"t":"camerasphere","f":"create","a":"csphere"},
[19:05:47.435] {"t":"camerasphere","f":"children","a":1},
[19:07:11.392] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":-0.7854,"immediateRender":false}}]}}}}},
[19:07:11.425] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"tiltflyTo","a":{"r":-0.7854,"d":3}}},
[19:07:11.429] {"t":"Mediator","f":"component","a":"narrative"},
[19:07:11.429] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[19:07:11.429] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[19:07:11.429] {"t":"timeline","f":"play"},
[19:07:26.395] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"y":-0.7854,"immediateRender":false}}]}}}}},
[19:07:26.406] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"panflyTo","a":{"r":-0.7854,"d":3}}},
[19:07:26.428] {"t":"Mediator","f":"component","a":"narrative"},
[19:07:26.428] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[19:07:26.428] {"t":"timeline","f":"play"},
[19:07:36.400] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"lookAt"}},
[19:07:51.402] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":3,"p":{"x":20,"y":0,"z":0,"immediateRender":false}}]}}}}},
[19:07:51.413] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"dollyflyTo","a":{"x":20,"y":0,"z":0,"d":3}}},
[19:07:51.446] {"t":"Mediator","f":"component","a":"narrative"},
[19:07:51.446] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[19:07:51.446] {"t":"timeline","f":"play"},
[19:08:01.404] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":3,"p":{"x":0.5,"y":0.5,"z":0.5,"immediateRender":false}}]}}}}},
[19:08:01.422] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":0.5,"d":3}}},
[19:08:01.431] {"t":"Mediator","f":"component","a":"narrative"},
[19:08:01.431] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope3"}},
[19:08:01.432] {"t":"timeline","f":"play"},
[19:08:16.403] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":3,"p":{"x":2,"y":2,"z":2,"immediateRender":false}}]}}}}},
[19:08:16.422] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":2,"d":3}}},
[19:08:16.427] {"t":"Mediator","f":"component","a":"narrative"},
[19:08:16.428] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope4"}},
[19:08:16.428] {"t":"timeline","f":"play"},
[19:08:26.410] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":3,"p":{"x":20,"y":20,"z":-20,"immediateRender":false}}]}}}}},
[19:08:26.436] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"dollyflyTo","a":{"x":20,"y":20,"z":-20,"d":3}}},
[19:08:26.467] {"t":"Mediator","f":"component","a":"narrative"},
[19:08:26.468] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope5"}},
[19:08:26.468] {"t":"timeline","f":"play"},
[19:08:36.411] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":3,"p":{"x":0.5,"y":0.5,"z":0.5,"immediateRender":false}}]}}}}},
[19:08:36.428] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":0.5,"d":3}}},
[19:08:36.468] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope6"}},
[19:08:36.469] {"t":"timeline","f":"play"},
[19:08:36.466] {"t":"Mediator","f":"component","a":"narrative"},
[19:08:51.419] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:position":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i2d:plane":[{"dur":3,"p":{"x":0,"y":0,"immediateRender":false}}],"i2d:zoom_plane":[{"dur":3,"p":{"rotation":0,"svgOrigin":"0% 0%","immediateRender":false}}]}}}}},
[19:08:51.440] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"center","a":{"d":3}}},
[19:08:51.473] {"t":"Mediator","f":"component","a":"narrative"},
[19:08:51.473] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope7"}},
[19:08:51.475] {"t":"timeline","f":"play"},
[19:09:01.416] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:position":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:scale":[{"dur":3,"p":{"x":1,"y":1,"z":1,"immediateRender":false}}],"i3d:csphere:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i2d:plane":[{"dur":3,"p":{"x":0,"y":0,"immediateRender":false}}],"i2d:zoom_plane":[{"dur":3,"p":{"rotation":0,"scale":1,"svgOrigin":"0% 0%","immediateRender":false}}]}}}}},
[19:09:01.444] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"home","a":{"d":3}}},
[19:09:01.483] {"t":"Mediator","f":"component","a":"narrative"},
[19:09:01.484] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope8"}},
[19:09:01.484] {"t":"timeline","f":"play"},
[19:09:16.418] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i3d:csphere:position":[{"dur":20,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0,"z":0},{"x":9.325780640356243,"y":26.00931232329458,"z":-4.975017055403441},{"x":-18.735543130896986,"y":5.544060291722417,"z":-33.94483040319756},{"x":-3.0387998395599425,"y":-8.118916433304548,"z":-8.419957919977605},{"x":14.539617290720344,"y":-9.233793758321553,"z":-4.568597134202719},{"x":0,"y":0,"z":0}],"immediateRender":false}}}]}}}}},
[19:09:16.444] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"bezier"}},
[19:09:16.446] {"t":"Mediator","f":"component","a":"narrative"},
[19:09:16.446] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope9"}},
[19:09:16.446] {"t":"timeline","f":"play"},
[19:09:36.431] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"y":0.7854,"immediateRender":false}}]}}}}},
[19:09:36.453] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"panflyBy","a":{"r":0.7854,"d":3}}},
[19:09:36.465] {"t":"Mediator","f":"component","a":"narrative"},
[19:09:36.466] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope10"}},
[19:09:36.466] {"t":"timeline","f":"play"},
[19:09:41.422] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0.7854,"immediateRender":false}}]}}}}},
[19:09:41.443] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"tiltflyBy","a":{"r":0.7854,"d":3}}},
[19:09:41.445] {"t":"Mediator","f":"component","a":"narrative"},
[19:09:41.445] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope11"}},
[19:09:41.445] {"t":"timeline","f":"play"},
[19:09:56.424] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"lookAt"}},
[19:10:11.423] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":4,"p":{"z":-1.57,"immediateRender":false}}]}}}}},
[19:10:11.443] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"rollflyTo","a":{"r":-1.57,"d":4}}},
[19:10:11.444] {"t":"Mediator","f":"component","a":"narrative"},
[19:10:11.444] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope12"}},
[19:10:11.444] {"t":"timeline","f":"play"},
[19:10:21.424] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":4,"p":{"z":-1.1773,"immediateRender":false}}]}}}}},
[19:10:21.442] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"rollflyBy","a":{"r":0.3927,"d":4}}},
[19:10:21.446] {"t":"Mediator","f":"component","a":"narrative"},
[19:10:21.446] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope13"}},
[19:10:21.446] {"t":"timeline","f":"play"},
[19:10:31.424] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":4,"p":{"z":-0.7846,"immediateRender":false}}]}}}}},
[19:10:31.443] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"rollflyBy","a":{"r":0.3927,"d":4}}},
[19:10:31.459] {"t":"Mediator","f":"component","a":"narrative"},
[19:10:31.460] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope14"}},
[19:10:31.460] {"t":"timeline","f":"play"},
[19:10:41.426] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:position":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i2d:plane":[{"dur":3,"p":{"x":0,"y":0,"immediateRender":false}}],"i2d:zoom_plane":[{"dur":3,"p":{"rotation":0,"svgOrigin":"0% 0%","immediateRender":false}}]}}}}},
[19:10:41.464] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"center","a":{"d":3}}},
[19:10:41.494] {"t":"Mediator","f":"component","a":"narrative"},
[19:10:41.495] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope15"}},
[19:10:41.495] {"t":"timeline","f":"play"},
[19:10:56.430] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:rotation":[{"dur":3,"p":{"y":1.57,"immediateRender":false}}]}}}}},
[19:10:56.452] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"yawflyTo","a":{"r":1.57,"d":3}}},
[19:10:56.453] {"t":"Mediator","f":"component","a":"narrative"},
[19:10:56.453] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope16"}},
[19:10:56.455] {"t":"timeline","f":"play"},
