[02:16:37.341] {"t":"camera3d","f":"place","a":12},
[02:16:37.342] {"t":"camerasphere","f":"create","a":"csphere"},
[02:16:37.342] {"t":"camerasphere","f":"children","a":1},
[02:16:43.598] {"t":"camera3d","f":"bezier","a":{"d":20,"n":6,"z":true}},
[02:16:43.626] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"bezier","a":{"d":20,"n":6,"z":true}}},
[02:16:43.627] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i3d:csphere:position":[{"dur":20,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0,"z":0},{"x":7.218277500942349,"y":5.779502356890589,"z":-5.275427259039134},{"x":-12.158496282063425,"y":3.992458654101938,"z":-31.005872637033463},{"x":-11.935441587120295,"y":-4.056574052665383,"z":-26.850706406403333},{"x":27.361279043834656,"y":-29.809209275990725,"z":-4.636074923910201},{"x":0,"y":0,"z":0}],"immediateRender":false}}}]}}}}},
[02:16:43.662] {"t":"Mediator","f":"component","a":"narrative"},
[02:16:43.664] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[02:16:43.664] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[02:16:43.665] {"t":"timeline","f":"play"},
[02:17:07.343] {"t":"camera3d","f":"bezier","a":{"d":20,"n":6,"z":true}},
[02:17:07.371] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"bezier","a":{"d":20,"n":6,"z":true}}},
[02:17:07.372] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i3d:csphere:position":[{"dur":20,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0,"z":0},{"x":22.476207171566784,"y":10.865128641016781,"z":-4.948687101714313},{"x":-2.507691455539316,"y":5.547262919135392,"z":-15.531943123787642},{"x":-26.348616401664913,"y":-13.524152850732207,"z":0.7334127556532621},{"x":29.779164413921535,"y":-7.290245667099953,"z":-5.175825266633183},{"x":0,"y":0,"z":0}],"immediateRender":false}}}]}}}}},
[02:17:07.372] {"t":"Mediator","f":"component","a":"narrative"},
[02:17:07.373] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[02:17:07.373] {"t":"timeline","f":"play"},
[02:17:31.181] {"t":"camera3d","f":"bezier","a":{"d":20,"n":6,"z":true}},
[02:17:31.200] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"bezier","a":{"d":20,"n":6,"z":true}}},
[02:17:31.201] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i3d:csphere:position":[{"dur":20,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0,"z":0},{"x":-2.8888394264504313,"y":-0.1356459455564618},{"x":-13.824797754641622,"y":15.103365106042475},{"x":0.8361967653036118,"y":15.008204528130591},{"x":20.539028111379594,"y":-1.224836097098887},{"x":0,"y":0,"z":0}],"immediateRender":false}}}]}}}}},
[02:17:31.203] {"t":"Mediator","f":"component","a":"narrative"},
[02:17:31.203] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[02:17:31.203] {"t":"timeline","f":"play"},
