[02:14:23.451] {"t":"camera3d","f":"place","a":12},
[02:14:23.452] {"t":"camerasphere","f":"create","a":"csphere"},
[02:14:23.452] {"t":"camerasphere","f":"children","a":1},
[02:14:27.490] {"t":"camera2d","f":"bezier"},
[02:14:27.525] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[02:14:27.525] {"t":"Mediator","f":"component","a":"narrative"},
[02:14:27.526] {"t":"timeline","f":"play"},
[02:14:27.514] {"t":"Mediator","f":"record","a":{"t":"camera2d","f":"bezier","a":{"d":10}}},
[02:14:27.525] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[02:14:27.515] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:c":[{"dur":10,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0},{"x":28.545206368435174,"y":-19.356649161782116},{"x":-16.21289486065507,"y":-28.79132535075769},{"x":-17.022033613175154,"y":13.537823238875717},{"x":4.817581996321678,"y":13.337472842540592},{"x":0,"y":0}],"immediateRender":false}}}]}}}}},
[02:14:44.078] {"t":"camera3d","f":"bezier","a":{"d":20,"n":6,"z":false}},
[02:14:44.094] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"bezier","a":{"d":20,"n":6,"z":false}}},
[02:14:44.096] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i3d:csphere:position":[{"dur":20,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0},{"x":15.059448354877532,"y":21.491192795801908},{"x":-8.475386928766966,"y":20.82320262445137},{"x":-16.5847409167327,"y":-11.01941206259653},{"x":22.309452386107296,"y":-26.330757290124893},{"x":0,"y":0}],"immediateRender":false}}}]}}}}},
[02:14:44.097] {"t":"Mediator","f":"component","a":"narrative"},
[02:14:44.098] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[02:14:44.098] {"t":"timeline","f":"play"},
[02:15:09.366] {"t":"camera3d","f":"bezier","a":{"d":20,"n":6,"z":false}},
[02:15:09.383] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"bezier","a":{"d":20,"n":6,"z":false}}},
[02:15:09.385] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i3d:csphere:position":[{"dur":20,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0},{"x":6.490337324794382,"y":25.047244811430573},{"x":-9.142812166828662,"y":25.373806622810662},{"x":-14.602698551025242,"y":-12.960854144766927},{"x":14.768681223504245,"y":-27.30555040994659},{"x":0,"y":0}],"immediateRender":false}}}]}}}}},
[02:15:09.385] {"t":"Mediator","f":"component","a":"narrative"},
[02:15:09.386] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[02:15:09.386] {"t":"timeline","f":"play"},
[02:15:32.431] {"t":"camera3d","f":"bezier","a":{"d":20,"n":6,"z":true}},
[02:15:32.433] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"bezier","a":{"d":20,"n":6,"z":true}}},
