[22:35:13.853] "/",
[22:35:20.296] {"a":"starting Mockserver..."},
[22:35:38.365] "/a:/i3d-simple:simple_green/i2d-scene:disks0/base-skycube:test_cube//LS",
[22:35:48.212] "/a0://///shot-graft:scope1",
[22:36:03.155] "/a1://///shot-graft:scope2",
[22:36:13.093] "/a2://///shot-graft:scope3",
[22:36:23.108] "//////shot-anim:scope4",
[22:36:38.653] "/payments:/i3d-simple:phong_head_sphere_kfb/i2d-empty:/black://CU:",
[22:38:28.297] "/a:/i3d-simple:simple_green/i2d-scene:disks0/base-skycube:test_cube//LS",
[22:38:43.254] "//////shot-graft:scope7",
[22:38:53.220] "//////shot-graft:scope8",
[22:39:08.232] "//////shot-graft:scope9",
[22:39:23.233] "//////shot-anim:scope10",
[22:39:34.977] "/footprint:/i3d-scene:scene1/i2d-empty:/escher://ECU:",
[22:39:48.265] "//////shot-anim:scope12",
[22:40:03.266] "//////shot-anim:scope13",
[22:40:28.280] "//////shot-anim:scope14",
[22:40:43.262] "//////shot-anim:scope15",
[22:40:53.665] "/circle:/i3d-simple:simple_red/i2d-scene:disks0/base-skycube:test_cube//shot-graft:a0",
[22:41:08.490] "///i2d-scene:mf2d0//ui-msgbg/MS",
[22:41:24.075] "/stocks:/i3d-jsonmodels:phonghead_kfb/i2d-scene:defsuse0/grid:/ui-msgbg:/2S:",
[22:41:33.460] "///i2d-scene:mf2d0///",
[22:41:43.279] "//////shot-anim:scope20",
[22:41:58.283] "//////shot-anim:scope21",
[22:42:13.284] "//////shot-anim:scope22",
[22:42:23.289] "//////shot-anim:scope23",
[22:42:38.280] "//////shot-anim:scope24",
[22:42:48.289] "//////shot-anim:scope25",
[22:43:03.283] "//////shot-anim:scope26",
[22:43:18.300] "//////shot-anim:scope27",
[22:43:33.271] "//////shot-anim:scope28",
[22:43:43.288] "//////shot-anim:scope29",
[22:43:58.283] "//////shot-anim:scope30",
[22:44:08.289] "//////shot-anim:scope31",
[22:44:18.288] "//////shot-anim:scope32",
[22:44:33.293] "//////shot-anim:scope33",
[22:44:43.289] "//////shot-anim:scope34",
[22:44:58.296] "//////shot-anim:scope35",
[22:45:08.286] "//////shot-anim:scope36",
[22:45:18.286] "//////shot-anim:scope37",
[22:45:48.291] "//////shot-anim:scope38",
[22:45:58.291] "//////shot-anim:scope39",
[22:46:13.288] "//////shot-anim:scope40",
[22:46:28.295] "//////shot-anim:scope41",
[22:46:38.302] "//////shot-anim:scope42",
[22:46:48.306] "//////shot-anim:scope43",
[22:46:58.324] "//////shot-anim:scope44",
[22:47:08.301] "//////shot-anim:scope45",
[22:47:28.295] "//////shot-anim:scope46",
[22:47:38.333] "//////shot-anim:scope47",
[22:47:58.339] "//////shot-anim:scope48",
[22:48:08.335] "//////shot-anim:scope49",
[22:48:23.331] "//////shot-anim:scope50",
[22:48:38.348] "//////shot-anim:scope51",
[22:48:53.337] "//////shot-anim:scope52",
[22:49:03.335] "//////shot-anim:scope53",
[22:49:13.337] "//////shot-anim:scope54",
[22:49:28.337] "//////shot-anim:scope55",
[22:49:43.333] "//////shot-anim:scope56",
[22:49:53.364] "//////shot-anim:scope57",
[22:50:08.366] "//////shot-anim:scope58",
[22:50:18.377] "//////shot-anim:scope59",
[22:50:33.368] "//////shot-anim:scope60",
[22:50:43.360] "//////shot-anim:scope61",
[22:50:53.381] "//////shot-anim:scope62",
[23:42:46.302] "//////shot-anim:scope63",
