[03:05:16.151] {"t":"camera3d","f":"place","a":12},
[03:05:16.251] {"t":"camerasphere","f":"create","a":"csphere"},
[03:05:16.251] {"t":"camerasphere","f":"children","a":1},
[03:05:45.088] {"a":"~~~~ change_state() this.prev_url = ^"},
[03:05:45.089] {"t":"mediator","f":"socket.emit.actions","a":{"t":"narrative","f":"change_state","a":"/circle:/i3d-simple:simple_red/i2d-scene:disks0/base-skycube:test_cube/ui-msgbg/MS"}},
[03:05:45.063] {"a":"~~~~ change_state() url = /circle:/i3d-simple:simple_red/i2d-scene:disks0/base-skycube:test_cube/ui-msgbg/MS"},
[03:05:45.655] {"t":"Mediator","f":"component","a":"narrative"},
[03:05:45.656] {"t":"app","f":"onEnter","a":{"name":"circle:"}},
[03:05:45.656] {"t":"app","f":"onEnter","a":{"name":"i3d-simple:simple_red"}},
[03:05:45.657] {"t":"camera3d","f":"changeTemplateScene"},
[03:05:45.657] {"t":"app","f":"onEnter","a":{"name":"i2d-scene:disks0"}},
[03:05:45.657] {"t":"app","f":"onEnter","a":{"name":"base-skycube:test_cube"}},
[03:05:45.658] {"t":"app","f":"onEnter","a":{"name":"ui-msgbg"}},
[03:05:45.659] {"t":"timeline","f":"play"},
[03:05:45.659] {"t":"camera3d","f":"addActorToScene","a":"csphere"},
[03:05:45.659] {"t":"camera3d","f":"addActorToScene","a":"cube0"},
[03:05:45.660] {"t":"camera3d","f":"addActorToScene","a":"cube0_0"},
[03:05:45.660] {"t":"camera3d","f":"addActorToScene","a":"cube0_1"},
[03:05:45.659] {"t":"app","f":"onEnter","a":{"name":"MS"}},
[03:06:00.060] {"t":"mediator","f":"socket.emit.actions","a":{"t":"location","f":"url","a":"/escher://i2d-scene:mf2d0///"}},
