[02:55:23.053] {"t":"camera3d","f":"place","a":12},
[02:55:23.054] {"t":"camerasphere","f":"create","a":"csphere"},
[02:55:23.055] {"t":"camerasphere","f":"children","a":1},
[02:55:51.928] {"a":"~~~~ change_state() url = /circle:/i3d-simple:simple_red/i2d-scene:disks0/base-skycube:test_cube/ui-msgbg/shot-graft:a0"},
[02:55:51.956] {"a":"~~~~ change_state() this.prev_url = ^"},
[02:55:51.957] {"t":"mediator","f":"socket.emit.actions","a":{"t":"narrative","f":"change_state","a":"/circle:/i3d-simple:simple_red/i2d-scene:disks0/base-skycube:test_cube/ui-msgbg/shot-graft:a0"}},
[02:55:52.483] {"t":"app","f":"onEnter","a":{"name":"circle:"}},
[02:55:52.484] {"t":"app","f":"onEnter","a":{"name":"i3d-simple:simple_red"}},
[02:55:52.484] {"t":"camera3d","f":"changeTemplateScene"},
[02:55:52.484] {"t":"app","f":"onEnter","a":{"name":"i2d-scene:disks0"}},
[02:55:52.483] {"t":"Mediator","f":"component","a":"narrative"},
[02:55:52.485] {"t":"app","f":"onEnter","a":{"name":"base-skycube:test_cube"}},
[02:55:52.486] {"t":"app","f":"onEnter","a":{"name":"ui-msgbg"}},
[02:55:52.486] {"t":"app","f":"onEnter","a":{"name":"shot-graft:a0"}},
[02:55:52.486] {"t":"timeline","f":"play"},
[02:55:52.486] {"t":"camera3d","f":"addActorToScene","a":"csphere"},
[02:55:52.487] {"t":"camera3d","f":"addActorToScene","a":"cube0"},
[02:55:52.487] {"t":"camera3d","f":"addActorToScene","a":"cube0_0"},
[02:55:52.489] {"t":"camera3d","f":"addActorToScene","a":"cube0_1"},
[02:56:06.929] {"t":"mediator","f":"socket.emit.actions","a":{"t":"location","f":"url","a":"/escher://i2d-scene:mf2d0///"}},
