[18:35:17.020] {"t":"camera3d","f":"place","a":12},
[18:35:17.021] {"t":"camerasphere","f":"create","a":"csphere"},
[18:35:17.022] {"t":"camerasphere","f":"children","a":1},
[18:38:55.732] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:plane":[{"dur":3,"p":{"x":0,"y":0,"immediateRender":false}}]}}}}},
[18:38:55.765] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera2d","f":"dollyflyTo","a":{"z":0,"d":3}}},
[18:38:55.813] {"t":"Mediator","f":"component","a":"narrative"},
[18:38:55.813] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[18:38:55.813] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[18:38:55.813] {"t":"timeline","f":"play"},
[18:38:58.768] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:c":[{"dur":10,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0},{"x":-22.73017769213766,"y":21.196036271285266},{"x":-27.091391114518046,"y":-3.225600072182715},{"x":21.46643537795171,"y":-9.53161780256778},{"x":19.845804339274764,"y":5.697575358208269},{"x":0,"y":0}],"immediateRender":false}}}]}}}}},
[18:38:58.790] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera2d","f":"bezier"}},
[18:38:58.817] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[18:38:58.817] {"t":"timeline","f":"play"},
[18:38:58.817] {"t":"Mediator","f":"component","a":"narrative"},
[18:39:08.771] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":8,"p":{"x":2,"y":2,"z":2,"immediateRender":false}}]}}}}},
[18:39:08.790] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":2,"d":8}}},
[18:39:08.833] {"t":"Mediator","f":"component","a":"narrative"},
[18:39:08.834] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[18:39:08.834] {"t":"timeline","f":"play"},
