[18:50:10.525] {"t":"camera3d","f":"place","a":12},
[18:50:10.527] {"t":"camerasphere","f":"create","a":"csphere"},
[18:50:10.527] {"t":"camerasphere","f":"children","a":1},
[18:50:49.809] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:plane":[{"dur":3,"p":{"x":20,"y":0,"immediateRender":false}}]}}}}},
[18:50:49.819] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera2d","f":"dollyflyTo","a":{"x":20,"d":3}}},
[18:50:49.840] {"t":"Mediator","f":"component","a":"narrative"},
[18:50:49.841] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[18:50:49.841] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[18:50:49.841] {"t":"timeline","f":"play"},
[18:50:52.800] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:plane":[{"dur":3,"p":{"x":20,"y":0,"immediateRender":false}}]}}}}},
[18:50:52.825] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera2d","f":"dollyflyTo","a":{"x":0,"d":3}}},
[18:50:52.849] {"t":"timeline","f":"play"},
[18:50:52.849] {"t":"Mediator","f":"component","a":"narrative"},
[18:50:52.849] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[18:51:09.815] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:c":[{"dur":10,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0},{"x":-3.4800534951500595,"y":14.885082116816193},{"x":-21.08068007742986,"y":-15.056500111240894},{"x":0.9777648537419736,"y":-15.320134323555976},{"x":9.450810053385794,"y":27.28870052145794},{"x":0,"y":0}],"immediateRender":false}}}]}}}}},
[18:51:09.837] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera2d","f":"bezier"}},
[18:51:09.862] {"t":"Mediator","f":"component","a":"narrative"},
[18:51:09.863] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[18:51:09.863] {"t":"timeline","f":"play"},
[18:51:19.819] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":8,"p":{"x":2,"y":2,"z":2,"immediateRender":false}}]}}}}},
[18:51:19.852] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":2,"d":8}}},
[18:51:19.886] {"t":"Mediator","f":"component","a":"narrative"},
[18:51:19.886] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope3"}},
[18:51:19.887] {"t":"timeline","f":"play"},
[18:51:27.829] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i3d:csphere:position":[{"dur":20,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0,"z":0},{"x":17.808132672216743,"y":21.584461955353618,"z":-0.1942297676578164},{"x":-4.687525006011128,"y":11.56312715029344,"z":-6.804204783402383},{"x":-14.16947779012844,"y":-23.116937612649053,"z":5.339528096374124},{"x":6.334482079837471,"y":-29.74880476249382,"z":-3.369783244561404},{"x":0,"y":0,"z":0}],"immediateRender":false}}}]}}}}},
[18:51:27.863] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"bezier"}},
[18:51:27.877] {"t":"Mediator","f":"component","a":"narrative"},
[18:51:27.877] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope4"}},
[18:51:27.877] {"t":"timeline","f":"play"},
[18:51:47.860] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":1,"d":8}}},
[18:51:47.874] {"t":"Mediator","f":"component","a":"narrative"},
[18:51:47.874] {"t":"timeline","f":"play"},
[18:51:47.874] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope5"}},
[18:51:47.834] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":8,"p":{"x":1,"y":1,"z":1,"immediateRender":false}}]}}}}},
[18:51:55.838] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"y":0.7854,"immediateRender":false}}]}}}}},
[18:51:55.860] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"panflyBy","a":{"r":0.7854,"d":3}}},
[18:51:55.892] {"t":"Mediator","f":"component","a":"narrative"},
[18:51:55.893] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope6"}},
[18:51:55.893] {"t":"timeline","f":"play"},
[18:51:58.844] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0.7854,"immediateRender":false}}]}}}}},
[18:51:58.892] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope7"}},
[18:51:58.892] {"t":"timeline","f":"play"},
[18:51:58.880] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"tiltflyBy","a":{"r":0.7854,"d":3}}},
[18:51:58.892] {"t":"Mediator","f":"component","a":"narrative"},
[18:52:01.857] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"lookAt"}},
[18:52:29.811] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:plane":[{"dur":3,"p":{"x":20,"y":0,"immediateRender":false}}]}}}}},
[18:52:29.846] {"t":"Mediator","f":"component","a":"narrative"},
[18:52:29.847] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope8"}},
[18:52:29.847] {"t":"timeline","f":"play"},
[18:52:29.842] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera2d","f":"dollyflyTo","a":{"x":20,"d":3}}},
[18:52:32.829] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:plane":[{"dur":3,"p":{"x":20,"y":0,"immediateRender":false}}]}}}}},
[18:52:32.873] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera2d","f":"dollyflyTo","a":{"x":0,"d":3}}},
[18:52:32.875] {"t":"Mediator","f":"component","a":"narrative"},
[18:52:32.876] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope9"}},
[18:52:32.876] {"t":"timeline","f":"play"},
