[22:07:18.113] {"t":"camera3d","f":"place","a":12},
[22:07:18.200] {"t":"camerasphere","f":"create","a":"csphere"},
[22:07:18.200] {"t":"camerasphere","f":"children","a":1},
[22:07:36.901] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i3d:csphere:position":[{"dur":20,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0,"z":0},{"x":-17.284498549997807,"y":-26.83469780953601,"z":-3.1586994254030287},{"x":-21.947891225572675,"y":20.43341440614313,"z":-5.23336247773841},{"x":16.58042701659724,"y":26.631023136433214,"z":22.140512897167355},{"x":8.955988290254027,"y":-18.389812940731645,"z":-6.787225224543363},{"x":0,"y":0,"z":0}],"immediateRender":false}}}]}}}}},
[22:07:36.914] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"bezier"}},
[22:07:36.938] {"t":"Mediator","f":"component","a":"narrative"},
[22:07:36.938] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[22:07:36.938] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[22:07:36.938] {"t":"timeline","f":"play"},
[22:07:56.896] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"y":0.7854,"immediateRender":false}}]}}}}},
[22:07:56.946] {"t":"Mediator","f":"component","a":"narrative"},
[22:07:56.946] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[22:07:56.947] {"t":"timeline","f":"play"},
[22:07:56.916] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"panflyBy","a":{"r":0.7854,"d":3}}},
[22:07:59.905] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"lookAt"}},
