[21:56:00.941] {"t":"camera3d","f":"place","a":12},
[21:56:01.055] {"t":"camerasphere","f":"create","a":"csphere"},
[21:56:01.056] {"t":"camerasphere","f":"children","a":1},
[21:56:37.699] {"t":"camera3d","f":"dollyX+","a":49},
[21:56:37.712] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"dollyBy","a":{"x":10}}},
[21:56:37.714] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":0,"p":{"x":10,"y":0,"z":0,"immediateRender":false}}]}}}}},
[21:56:37.754] {"t":"Mediator","f":"component","a":"narrative"},
[21:56:37.755] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[21:56:37.756] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[21:56:37.756] {"t":"timeline","f":"play"},
[21:56:41.831] {"t":"camera3d","f":"dollyX+","a":50},
[21:56:41.839] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"dollyBy","a":{"x":-10}}},
[21:56:41.840] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":0,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}]}}}}},
[21:56:41.871] {"t":"Mediator","f":"component","a":"narrative"},
[21:56:41.871] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[21:56:41.871] {"t":"timeline","f":"play"},
[21:56:42.828] {"t":"camera3d","f":"dollyX+","a":49},
[21:56:42.836] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"dollyBy","a":{"x":10}}},
[21:56:42.843] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":0,"p":{"x":10,"y":0,"z":0,"immediateRender":false}}]}}}}},
[21:56:42.868] {"t":"Mediator","f":"component","a":"narrative"},
[21:56:42.868] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[21:56:42.868] {"t":"timeline","f":"play"},
[21:56:43.631] {"t":"camera3d","f":"dollyX+","a":50},
[21:56:43.651] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"dollyBy","a":{"x":-10}}},
[21:56:43.653] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":0,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}]}}}}},
[21:56:43.684] {"t":"Mediator","f":"component","a":"narrative"},
[21:56:43.685] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope3"}},
[21:56:43.686] {"t":"timeline","f":"play"},
