[22:11:09.629] {"t":"camera3d","f":"place","a":12},
[22:11:09.736] {"t":"camerasphere","f":"create","a":"csphere"},
[22:11:09.736] {"t":"camerasphere","f":"children","a":1},
[22:11:17.151] {"t":"camera3d","f":"dollyX+","a":49},
[22:11:17.177] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"dollyBy","a":{"x":10}}},
[22:11:17.178] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":0,"p":{"x":10,"y":0,"z":0,"immediateRender":false}}]}}}}},
[22:11:17.202] {"t":"Mediator","f":"component","a":"narrative"},
[22:11:17.202] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[22:11:17.202] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[22:11:17.203] {"t":"timeline","f":"play"},
[22:11:20.148] {"t":"camera3d","f":"dollyX+","a":50},
[22:11:20.175] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"dollyBy","a":{"x":-10}}},
[22:11:20.177] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":0,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}]}}}}},
[22:11:20.196] {"t":"Mediator","f":"component","a":"narrative"},
[22:11:20.197] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[22:11:20.197] {"t":"timeline","f":"play"},
