[22:18:43.419] {"t":"camera3d","f":"place","a":12},
[22:18:43.420] {"t":"camerasphere","f":"create","a":"csphere"},
[22:18:43.420] {"t":"camerasphere","f":"children","a":1},
[22:18:52.919] {"t":"camera3d","f":"dollyX+","a":49},
[22:18:52.942] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"dollycutBy","a":{"x":10}}},
[22:18:52.943] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":0,"p":{"x":10,"y":0,"z":0,"immediateRender":false}}]}}}}},
[22:18:53.014] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[22:18:53.014] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[22:18:53.015] {"t":"timeline","f":"play"},
[22:18:53.013] {"t":"Mediator","f":"component","a":"narrative"},
[22:18:57.043] {"t":"camera3d","f":"dollyX+","a":50},
[22:18:57.064] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"dollycutBy","a":{"x":-10}}},
[22:18:57.065] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":0,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}]}}}}},
[22:18:57.109] {"t":"timeline","f":"play"},
[22:18:57.109] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[22:18:57.109] {"t":"Mediator","f":"component","a":"narrative"},
[22:19:02.876] {"t":"camera3d","f":"dollyX+","a":49},
[22:19:02.903] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"dollycutBy","a":{"x":10}}},
[22:19:02.905] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":0,"p":{"x":10,"y":0,"z":0,"immediateRender":false}}]}}}}},
[22:19:02.935] {"t":"Mediator","f":"component","a":"narrative"},
[22:19:02.936] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[22:19:02.936] {"t":"timeline","f":"play"},
[22:19:03.571] {"t":"camera3d","f":"dollyX+","a":50},
[22:19:03.588] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"dollycutBy","a":{"x":-10}}},
[22:19:03.589] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":0,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}]}}}}},
[22:19:03.616] {"t":"Mediator","f":"component","a":"narrative"},
[22:19:03.617] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope3"}},
[22:19:03.617] {"t":"timeline","f":"play"},
[22:19:11.881] {"t":"camera3d","f":"dollyX+","a":49},
[22:19:11.899] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"dollyflyBy","a":{"x":10,"d":3}}},
[22:19:11.900] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:position":[{"dur":3,"p":{"x":10,"y":0,"z":0,"immediateRender":false}}]}}}}},
[22:19:11.924] {"t":"Mediator","f":"component","a":"narrative"},
[22:19:11.925] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope4"}},
