[23:07:33.655] {"t":"camera3d","f":"place","a":12},
[23:07:33.657] {"t":"camerasphere","f":"create","a":"csphere"},
[23:07:33.657] {"t":"camerasphere","f":"children","a":1},
[23:07:39.689] {"t":"Mediator","f":"component","a":"narrative"},
[23:07:40.377] {"t":"app","f":"onEnter","a":{"name":"stocks:"}},
[23:07:40.379] {"t":"app","f":"onEnter","a":{"name":"i3d-jsonmodels:phonghead_kfb"}},
[23:07:40.379] {"t":"camera3d","f":"changeTemplateScene"},
[23:07:40.379] {"t":"app","f":"onEnter","a":{"name":"i2d-scene:defsuse0"}},
[23:07:40.380] {"t":"app","f":"onEnter","a":{"name":"grid:"}},
[23:07:40.381] {"t":"app","f":"onEnter","a":{"name":"2S:"}},
[23:07:40.381] {"t":"timeline","f":"play"},
[23:07:40.381] {"t":"camera3d","f":"addActorToScene","a":"csphere"},
[23:07:40.381] {"t":"camera3d","f":"addActorToScene","a":"axes0"},
[23:07:40.382] {"t":"camera3d","f":"addActorToScene","a":"key"},
[23:07:40.382] {"t":"camera3d","f":"addActorToScene","a":"fill"},
[23:07:40.382] {"t":"camera3d","f":"addActorToScene","a":"back"},
[23:07:40.645] {"t":"camera3d","f":"addActorToScene","a":"head_scan"},
[23:08:05.931] {"t":"camera3d","f":"tilt (look) down","a":40},
[23:08:05.962] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"tiltflyBy","a":{"r":-0.19635,"d":3}}},
[23:08:05.965] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":-0.19635,"immediateRender":false}}]}}}}},
[23:08:06.013] {"t":"Mediator","f":"component","a":"narrative"},
[23:08:06.013] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[23:08:06.014] {"t":"timeline","f":"play"},
[23:08:09.078] {"t":"camera3d","f":"tilt (look) up","a":38},
[23:08:09.105] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"tiltflyBy","a":{"r":0.19635,"d":3}}},
[23:08:09.106] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0,"immediateRender":false}}]}}}}},
[23:08:09.132] {"t":"Mediator","f":"component","a":"narrative"},
[23:08:09.132] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[23:08:09.132] {"t":"timeline","f":"play"},
[23:08:53.511] {"t":"Mediator","f":"component","a":"narrative"},
[23:08:54.080] {"t":"camera3d","f":"changeTemplateScene"},
[23:08:54.079] {"t":"app","f":"onEnter","a":{"name":"i3d-simple:phong_head_sphere_kfb"}},
[23:08:54.078] {"t":"app","f":"onEnter","a":{"name":"payments:"}},
[23:08:54.081] {"t":"app","f":"onEnter","a":{"name":"CU:"}},
[23:08:54.080] {"t":"app","f":"onEnter","a":{"name":"i2d-empty:"}},
[23:08:54.080] {"t":"app","f":"onEnter","a":{"name":"black:"}},
[23:08:54.083] {"t":"camera3d","f":"addActorToScene","a":"axes0"},
[23:08:54.086] {"t":"camera3d","f":"addActorToScene","a":"sphere_phong"},
[23:08:54.086] {"t":"camera3d","f":"addActorToScene","a":"key"},
[23:08:54.087] {"t":"camera3d","f":"addActorToScene","a":"fill"},
[23:08:54.087] {"t":"camera3d","f":"addActorToScene","a":"back"},
[23:08:54.082] {"t":"timeline","f":"play"},
[23:08:54.082] {"t":"camera3d","f":"addActorToScene","a":"csphere"},
[23:08:54.387] {"t":"camera3d","f":"addActorToScene","a":"head_scan"},
