[21:35:55.627] {"t":"camera3d","f":"place","a":12},
[21:35:55.738] {"t":"camerasphere","f":"create","a":"csphere"},
[21:35:55.739] {"t":"camerasphere","f":"children","a":1},
[21:40:09.532] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":3,"p":{"x":2,"y":2,"z":2,"immediateRender":false}}]}}}}},
[21:40:09.557] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":2,"d":3}}},
[21:40:09.577] {"t":"Mediator","f":"component","a":"narrative"},
[21:40:09.577] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[21:40:09.577] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[21:40:09.578] {"t":"timeline","f":"play"},
[21:40:12.523] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:position":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i2d:plane":[{"dur":3,"p":{"x":0,"y":0,"immediateRender":false}}],"i2d:zoom_plane":[{"dur":3,"p":{"rotation":0,"svgOrigin":"0% 0%","immediateRender":false}}]}}}}},
[21:40:12.555] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"center","a":{"d":3}}},
[21:40:12.620] {"t":"Mediator","f":"component","a":"narrative"},
[21:40:12.620] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[21:40:12.621] {"t":"timeline","f":"play"},
[21:40:19.532] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:position":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:scale":[{"dur":3,"p":{"x":1,"y":1,"z":1,"immediateRender":false}}],"i3d:csphere:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i2d:plane":[{"dur":3,"p":{"x":0,"y":0,"immediateRender":false}}],"i2d:zoom_plane":[{"dur":3,"p":{"rotation":0,"scale":1,"svgOrigin":"0% 0%","immediateRender":false}}]}}}}},
[21:40:19.549] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"home","a":{"d":3}}},
[21:40:19.614] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[21:40:19.614] {"t":"timeline","f":"play"},
[21:40:19.613] {"t":"Mediator","f":"component","a":"narrative"},
[21:40:24.533] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i3d:csphere:position":[{"dur":20,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0,"z":0},{"x":-18.216762270312756,"y":-7.659534907434136,"z":-8.387124547734857},{"x":-12.222398347221315,"y":19.99660748289898,"z":-38.097638436593115},{"x":0.08578901644796133,"y":18.90207395190373,"z":-35.62780037522316},{"x":2.67861922737211,"y":-26.305942246690392,"z":-5.231139084789902},{"x":0,"y":0,"z":0}],"immediateRender":false}}}]}}}}},
[21:40:24.541] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"bezier"}},
[21:40:24.569] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope3"}},
[21:40:24.569] {"t":"Mediator","f":"component","a":"narrative"},
[21:40:24.569] {"t":"timeline","f":"play"},
[21:40:44.525] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"y":0.7854,"immediateRender":false}}]}}}}},
[21:40:44.549] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"panflyBy","a":{"r":0.7854,"d":3}}},
[21:40:44.585] {"t":"Mediator","f":"component","a":"narrative"},
[21:40:44.588] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope4"}},
[21:40:44.588] {"t":"timeline","f":"play"},
[21:40:47.531] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0.7854,"immediateRender":false}}]}}}}},
[21:40:47.563] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"tiltflyBy","a":{"r":0.7854,"d":3}}},
[21:40:47.599] {"t":"Mediator","f":"component","a":"narrative"},
[21:40:47.600] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope5"}},
[21:40:47.600] {"t":"timeline","f":"play"},
[21:40:50.539] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"lookAt"}},
[21:40:54.556] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":4,"p":{"immediateRender":false}}]}}}}},
[21:40:54.585] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"rollflyTo","a":{"s":-1.57,"d":4}}},
[21:40:54.631] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope6"}},
[21:40:54.631] {"t":"Mediator","f":"component","a":"narrative"},
[21:40:54.631] {"t":"timeline","f":"play"},
[21:41:04.556] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":4,"p":{"z":null,"immediateRender":false}}]}}}}},
[21:41:04.576] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"rollflyBy","a":{"s":0.3927,"d":4}}},
[21:41:04.601] {"t":"Mediator","f":"component","a":"narrative"},
[21:41:04.601] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope7"}},
[21:41:04.601] {"t":"timeline","f":"play"},
[21:41:09.555] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":4,"p":{"z":null,"immediateRender":false}}]}}}}},
[21:41:09.569] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"rollflyBy","a":{"s":0.3927,"d":4}}},
[21:41:09.582] {"t":"Mediator","f":"component","a":"narrative"},
[21:41:09.582] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope8"}},
[21:41:09.583] {"t":"timeline","f":"play"},
[21:41:19.558] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:position":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i3d:csphere:rotation":[{"dur":3,"p":{"x":0,"y":0,"z":0,"immediateRender":false}}],"i2d:plane":[{"dur":3,"p":{"x":0,"y":0,"immediateRender":false}}],"i2d:zoom_plane":[{"dur":3,"p":{"rotation":0,"svgOrigin":"0% 0%","immediateRender":false}}]}}}}},
[21:41:19.571] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"center","a":{"d":3}}},
[21:41:19.603] {"t":"Mediator","f":"component","a":"narrative"},
[21:41:19.603] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope9"}},
[21:41:19.603] {"t":"timeline","f":"play"},
[21:41:39.559] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"lookAt"}},
[21:41:44.558] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:rotation":[{"dur":3,"p":{"y":1.57,"immediateRender":false}}]}}}}},
[21:41:44.574] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"yawflyTo","a":{"r":1.57,"d":3}}},
[21:41:44.583] {"t":"Mediator","f":"component","a":"narrative"},
[21:41:44.584] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope10"}},
[21:41:44.585] {"t":"timeline","f":"play"},
[21:41:54.561] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:rotation":[{"dur":3,"p":{"y":0.7846000000000001,"immediateRender":false}}]}}}}},
[21:41:54.583] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"yawflyBy","a":{"r":-0.7854,"d":3}}},
[21:41:54.594] {"t":"Mediator","f":"component","a":"narrative"},
[21:41:54.595] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope11"}},
[21:41:54.596] {"t":"timeline","f":"play"},
[21:41:59.560] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:rotation":[{"dur":3,"p":{"y":-0.0007999999999999119,"immediateRender":false}}]}}}}},
[21:41:59.570] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"yawflyBy","a":{"r":-0.7854,"d":3}}},
[21:41:59.590] {"t":"Mediator","f":"component","a":"narrative"},
[21:41:59.590] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope12"}},
[21:41:59.590] {"t":"timeline","f":"play"},
[21:42:09.562] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:rotation":[{"dur":3,"p":{"x":1.57,"immediateRender":false}}]}}}}},
[21:42:09.572] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"pitchflyTo","a":{"r":1.57,"d":3}}},
[21:42:09.594] {"t":"Mediator","f":"component","a":"narrative"},
[21:42:09.595] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope13"}},
[21:42:09.595] {"t":"timeline","f":"play"},
