[05:10:40.648] {"t":"camera3d","f":"place","a":12},
[05:10:40.751] {"t":"camerasphere","f":"children","a":1},
[05:10:40.751] {"t":"camerasphere","f":"create","a":"csphere"},
[05:11:39.535] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":2,"d":8}}},
[05:11:39.524] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":8,"p":{"x":2,"y":2,"z":2,"immediateRender":false}}]}}}}},
[05:11:39.566] {"t":"Mediator","f":"component","a":"narrative"},
[05:11:39.567] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[05:11:39.567] {"t":"timeline","f":"play"},
[05:11:39.567] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[05:11:47.543] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:csphere:scale":[{"dur":8,"p":{"x":1,"y":1,"z":1,"immediateRender":false}}]}}}}},
[05:11:47.556] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"zoomflyTo","a":{"s":1,"d":8}}},
[05:11:47.568] {"t":"Mediator","f":"component","a":"narrative"},
[05:11:47.568] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[05:11:47.568] {"t":"timeline","f":"play"},
[05:11:55.554] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i3d:csphere:position":[{"dur":20,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":0,"y":0,"z":0},{"x":-13.384030067827553,"y":-17.302593074273318,"z":-0.2855187118984759},{"x":-28.681474244222045,"y":16.486879466101527,"z":-27.548918074462563},{"x":25.19031073898077,"y":15.231991780456156,"z":-24.86432129982859},{"x":13.19055202184245,"y":-18.188127516768873,"z":-5.300496856216341},{"x":0,"y":0,"z":0}],"immediateRender":false}}}]}}}}},
[05:11:55.569] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"bezier"}},
[05:11:55.584] {"t":"Mediator","f":"component","a":"narrative"},
[05:11:55.584] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[05:11:55.585] {"t":"timeline","f":"play"},
[05:12:15.556] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"y":0.7854,"immediateRender":false}}]}}}}},
[05:12:15.586] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"panflyBy","a":{"r":0.7854,"d":3}}},
[05:12:15.606] {"t":"Mediator","f":"component","a":"narrative"},
[05:12:15.607] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope3"}},
[05:12:15.607] {"t":"timeline","f":"play"},
[05:12:18.565] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0.7854,"immediateRender":false}}]}}}}},
[05:12:18.591] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"tiltflyBy","a":{"r":0.7854,"d":3}}},
[05:12:18.607] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope4"}},
[05:12:18.607] {"t":"Mediator","f":"component","a":"narrative"},
[05:12:18.607] {"t":"timeline","f":"play"},
[05:12:21.578] {"t":"mediator","f":"socket.emit.actions","a":{"t":"camera3d","f":"lookAt"}},
