[23:57:31.848] {"t":"camera3d","f":"place","a":12},
[23:57:31.849] {"t":"camerasphere","f":"create","a":"csphere"},
[23:57:31.850] {"t":"camerasphere","f":"children","a":1},
[23:57:41.348] {"t":"Mediator","f":"component","a":"narrative"},
[23:57:42.398] {"t":"app","f":"onEnter","a":{"name":"footprint:"}},
[23:57:42.398] {"t":"app","f":"onEnter","a":{"name":"i3d-scene:scene1"}},
[23:57:42.400] {"t":"camera3d","f":"changeTemplateScene"},
[23:57:42.400] {"t":"app","f":"onEnter","a":{"name":"i2d-empty:"}},
[23:57:42.401] {"t":"app","f":"onEnter","a":{"name":"escher:"}},
[23:57:42.401] {"t":"app","f":"onEnter","a":{"name":"ECU:"}},
[23:57:42.402] {"t":"timeline","f":"play"},
[23:57:42.402] {"t":"camera3d","f":"addBillboardToScene","a":"bb_singular2"},
[23:57:42.402] {"t":"camera3d","f":"addBillboardToScene","a":"bb0"},
[23:57:42.402] {"t":"camera3d","f":"addActorToScene","a":"csphere"},
[23:57:42.402] {"t":"camera3d","f":"addBillboardToScene","a":"bb1"},
[23:57:42.403] {"t":"camera3d","f":"addBillboardToScene","a":"bb3"},
[23:57:42.403] {"t":"camera3d","f":"addBillboardToScene","a":"bb4"},
[23:57:42.402] {"t":"camera3d","f":"addBillboardToScene","a":"bb2"},
[23:57:42.404] {"t":"camera3d","f":"addBillboardToScene","a":"bb6"},
[23:57:42.405] {"t":"camera3d","f":"addBillboardToScene","a":"bb8"},
[23:57:42.405] {"t":"camera3d","f":"addBillboardToScene","a":"bb18"},
[23:57:42.405] {"t":"camera3d","f":"addBillboardToScene","a":"bb19"},
[23:57:42.404] {"t":"camera3d","f":"addBillboardToScene","a":"bb5"},
[23:57:42.406] {"t":"camera3d","f":"addBillboardToScene","a":"bb20"},
[23:57:42.404] {"t":"camera3d","f":"addBillboardToScene","a":"bb7"},
[23:57:42.406] {"t":"camera3d","f":"addBillboardToScene","a":"bb22"},
[23:57:42.407] {"t":"camera3d","f":"addBillboardToScene","a":"bb23"},
[23:57:42.407] {"t":"camera3d","f":"addBillboardToScene","a":"bb24"},
[23:57:42.408] {"t":"camera3d","f":"addBillboardToScene","a":"bb26"},
[23:57:42.408] {"t":"camera3d","f":"addBillboardToScene","a":"bb54"},
[23:57:42.407] {"t":"camera3d","f":"addBillboardToScene","a":"bb25"},
[23:57:42.408] {"t":"camera3d","f":"addBillboardToScene","a":"bb55"},
[23:57:42.409] {"t":"camera3d","f":"addBillboardToScene","a":"bb56"},
[23:57:42.409] {"t":"camera3d","f":"addBillboardToScene","a":"bb57"},
[23:57:42.410] {"t":"camera3d","f":"addBillboardToScene","a":"bb59"},
[23:57:42.410] {"t":"camera3d","f":"addBillboardToScene","a":"bb60"},
[23:57:42.409] {"t":"camera3d","f":"addBillboardToScene","a":"bb58"},
[23:57:42.410] {"t":"camera3d","f":"addBillboardToScene","a":"bb61"},
[23:57:42.411] {"t":"camera3d","f":"addBillboardToScene","a":"bb62"},
[23:57:42.406] {"t":"camera3d","f":"addBillboardToScene","a":"bb21"},
[23:57:42.468] {"t":"camera3d","f":"addBillboardToScene","a":"bb_singular"},
[23:57:48.215] {"t":"camera3d","f":"pan (look) right","a":39},
[23:57:48.229] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"panflyBy","a":{"r":-0.19635,"d":3}}},
[23:57:48.231] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"y":-0.19635,"immediateRender":false}}]}}}}},
[23:57:48.276] {"t":"Mediator","f":"component","a":"narrative"},
[23:57:48.276] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[23:57:48.276] {"t":"timeline","f":"play"},
[23:57:51.272] {"t":"camera3d","f":"pan (look) right","a":39},
[23:57:51.291] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"panflyBy","a":{"r":-0.19635,"d":3}}},
[23:57:51.292] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"y":-0.3927,"immediateRender":false}}]}}}}},
[23:57:51.340] {"t":"Mediator","f":"component","a":"narrative"},
[23:57:51.340] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[23:57:51.342] {"t":"timeline","f":"play"},
[23:57:54.166] {"t":"camera3d","f":"tilt (look) up","a":38},
[23:57:54.187] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"tiltflyBy","a":{"r":0.19635,"d":3}}},
[23:57:54.188] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0.19635,"immediateRender":false}}]}}}}},
[23:57:54.209] {"t":"Mediator","f":"component","a":"narrative"},
[23:57:54.209] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope3"}},
[23:57:54.209] {"t":"timeline","f":"play"},
[23:58:00.885] {"t":"camera3d","f":"tilt (look) up","a":38},
[23:58:00.899] {"t":"Mediator","f":"record","a":{"t":"camera3d","f":"tiltflyBy","a":{"r":0.19635,"d":3}}},
[23:58:00.900] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0},"actors":{"i3d:camera:rotation":[{"dur":3,"p":{"x":0.3927,"immediateRender":false}}]}}}}},
[23:58:00.930] {"t":"Mediator","f":"component","a":"narrative"},
[23:58:00.930] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope4"}},
[23:58:00.930] {"t":"timeline","f":"play"},
