[20:35:37.777] {"t":"camera3d","f":"place","a":12},
[20:35:37.779] {"t":"camerasphere","f":"create","a":"csphere"},
[20:35:37.779] {"t":"camerasphere","f":"children","a":1},
[20:35:45.743] {"t":"camera2d","f":"bezier"},
[20:35:45.776] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:c":[{"dur":30,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":-1.4458528580144048,"y":8.08462718501687},{"x":-5.090353533159941,"y":-0.910753842908889},{"x":0.32136724796146154,"y":-4.192898669280112},{"x":6.453806136269122,"y":1.4516981528140604},{"x":0,"y":0}],"immediateRender":false}}}]}}}}},
[20:35:45.810] {"t":"Mediator","f":"component","a":"narrative"},
[20:35:45.810] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[20:35:45.811] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[20:35:45.811] {"t":"timeline","f":"play"},
[20:38:08.662] {"t":"camera2d","f":"bezier"},
[20:38:08.697] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:c":[{"dur":30,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":-0.9359353664331138,"y":3.84107185062021},{"x":-2.4487131112255156,"y":-8.91587782651186},{"x":3.6841853242367506,"y":-6.452008585911244},{"x":8.297780388966203,"y":9.837764261756092},{"x":0,"y":0}],"immediateRender":false}}}]}}}}},
[20:38:08.720] {"t":"Mediator","f":"component","a":"narrative"},
[20:38:08.721] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[20:38:08.721] {"t":"timeline","f":"play"},
[20:38:44.723] {"t":"camera2d","f":"bezier"},
[20:38:44.753] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:c":[{"dur":30,"p":{"bezier":{"autoRotate":true,"curviness":2,"values":[{"x":3.07759479386732,"y":-9.528351610060781},{"x":-7.012047988828272,"y":-9.41284161992371},{"x":-2.7154872403480113,"y":2.2270858264528215},{"x":3.922527404502034,"y":1.923130825161934},{"x":0,"y":0}],"immediateRender":false}}}]}}}}},
[20:38:44.766] {"t":"Mediator","f":"component","a":"narrative"},
[20:38:44.767] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope2"}},
[20:38:44.767] {"t":"timeline","f":"play"},
