[21:09:05.341] {"t":"camera3d","f":"place","a":12},
[21:09:05.460] {"t":"camerasphere","f":"create","a":"csphere"},
[21:09:05.460] {"t":"camerasphere","f":"children","a":1},
[21:09:08.486] {"t":"camera2d","f":"bezier"},
[21:09:08.522] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:c":[{"dur":30,"p":{"bezier":{"autoRotate":true,"type":"quadratic","curviness":2,"values":[{"x":0,"y":0},{"x":5.794451502151787,"y":-16.880403456743807},{"x":-28.63235461525619,"y":-3.2486003637313843},{"x":-14.564275320153683,"y":3.581844884902239},{"x":19.226913785096258,"y":5.357098805252463}],"immediateRender":false}}}]}}}}},
[21:09:08.566] {"t":"Mediator","f":"component","a":"narrative"},
[21:09:08.566] {"t":"app","f":"onEnter","a":{"name":"empty:"}},
[21:09:08.566] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope0"}},
[21:09:08.567] {"t":"timeline","f":"play"},
[21:09:39.837] {"t":"camera2d","f":"bezier"},
[21:09:39.859] {"t":"narrative","f":"shot","a":{"delta":{"timeline":{"p":{"paused":true,"repeat":0,"tweens":[]},"actors":{"i2d:c":[{"dur":30,"p":{"bezier":{"autoRotate":true,"type":"quadratic","curviness":2,"values":[{"x":0,"y":0},{"x":0.22950611310079694,"y":-29.80817136587575},{"x":-13.601650041528046,"y":-23.822473485488445},{"x":-4.78947197785601,"y":14.451504768803716},{"x":5.396364089101553,"y":5.986339019145817}],"immediateRender":false}}}]}}}}},
[21:09:39.898] {"t":"Mediator","f":"component","a":"narrative"},
[21:09:39.898] {"t":"app","f":"onEnter","a":{"name":"shot-anim:scope1"}},
[21:09:39.898] {"t":"timeline","f":"play"},
